teamA,teamB,date,league,teamA_win
Burning Core,Sengoku Gaming,2023-02-10,LJL,0
FENNEL,AXIZ,2023-02-10,LJL,1
Detonation FocusMe,V3 Esports,2023-02-05,LJL,1
Crest Gaming Act,SoftBank Hawks Gaming,2023-02-05,LJL,0
Burning Core,FENNEL,2023-02-04,LJL,0
AXIZ,Sengoku Gaming,2023-02-04,LJL,0
Crest Gaming Act,Detonation FocusMe,2023-02-03,LJL,0
V3 Esports,SoftBank Hawks Gaming,2023-02-03,LJL,0
FENNEL,SoftBank Hawks Gaming,2023-01-29,LJL,0
AXIZ,V3 Esports,2023-01-29,LJL,1
Burning Core,Crest Gaming Act,2023-01-28,LJL,0
Detonation FocusMe,Sengoku Gaming,2023-01-28,LJL,0
Detonation FocusMe,Sengoku Gaming,2023-04-15,LJL,1
Detonation FocusMe,SoftBank Hawks Gaming,2023-04-09,LJL,1
Sengoku Gaming,FENNEL,2023-04-08,LJL,1
FENNEL,Burning Core,2023-04-02,LJL,1
SoftBank Hawks Gaming,AXIZ,2023-04-01,LJL,1
Detonation FocusMe,Sengoku Gaming,2023-07-16,LJL,1
SoftBank Hawks Gaming,Burning Core,2023-07-16,LJL,1
AXIZ,FENNEL,2023-07-15,LJL,0
V3 Esports,Crest Gaming Act,2023-07-15,LJL,0
SoftBank Hawks Gaming,AXIZ,2023-07-14,LJL,1
Sengoku Gaming,Crest Gaming Act,2023-07-14,LJL,1
FENNEL,Burning Core,2023-07-09,LJL,1
Detonation FocusMe,V3 Esports,2023-07-09,LJL,1
FENNEL,SoftBank Hawks Gaming,2023-07-08,LJL,1
AXIZ,Sengoku Gaming,2023-07-08,LJL,1
Detonation FocusMe,Crest Gaming Act,2023-07-07,LJL,0
V3 Esports,Burning Core,2023-07-07,LJL,0
SoftBank Hawks Gaming,Sengoku Gaming,2023-07-02,LJL,1
AXIZ,Crest Gaming Act,2023-07-02,LJL,0
Burning Core,Detonation FocusMe,2023-07-01,LJL,0
FENNEL,V3 Esports,2023-07-01,LJL,1
Burning Core,AXIZ,2023-06-30,LJL,1
FENNEL,Detonation FocusMe,2023-06-30,LJL,0
Sengoku Gaming,FENNEL,2023-06-18,LJL,1
Crest Gaming Act,SoftBank Hawks Gaming,2023-06-18,LJL,0
Detonation FocusMe,AXIZ,2023-06-17,LJL,1
V3 Esports,Sengoku Gaming,2023-06-17,LJL,0
Crest Gaming Act,Burning Core,2023-06-16,LJL,1
SoftBank Hawks Gaming,V3 Esports,2023-06-16,LJL,1
FENNEL,Crest Gaming Act,2023-06-11,LJL,1
AXIZ,V3 Esports,2023-06-11,LJL,1
Burning Core,Sengoku Gaming,2023-06-10,LJL,0
Detonation FocusMe,SoftBank Hawks Gaming,2023-06-10,LJL,1
Detonation FocusMe,SoftBank Hawks Gaming,2023-08-20,LJL,1
SoftBank Hawks Gaming,Sengoku Gaming,2023-08-13,LJL,1
FENNEL,Sengoku Gaming,2023-08-12,LJL,0
Detonation FocusMe,SoftBank Hawks Gaming,2023-08-06,LJL,1
FENNEL,AXIZ,2023-08-05,LJL,1
Crest Gaming Act,Sengoku Gaming,2023-08-04,LJL,0
Burning Core,AXIZ,2023-07-30,LJL,0
Sengoku Gaming,V3 Esports,2023-07-29,LJL,1
SoftBank Hawks Gaming,FENNEL,2023-07-23,LJL,1
Detonation FocusMe,Crest Gaming Act,2023-07-22,LJL,1
