league,date,Team,GP,W,L,AGT,K,D,KD,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
CBLOL,2023-06-25,LOUD,6.0,3.0,3.0,31.977777777777774,89.0,100.0,0.89,0.9852370686735945,0.0003992633333333312,-963.3333333333334,0.16666666666666666,0.6666666666666666,0.6666666666666666,6.0,0.75,,0.5,0.48148148148148145,0.0,0.8333333333333334,0.6,0.4931165450388236,0.48005153649433535,3.2190499999999997,1.2540255127249953,1.3035298098925499,0.5
CBLOL,2023-07-01,LOUD,7.0,4.0,3.0,31.826190476190472,106.0,109.0,0.9724770642201835,0.9646275374922685,0.007894382857142855,-701.8571428571429,0.14285714285714285,0.7142857142857143,0.7142857142857143,5.571428571428571,0.7857142857142857,,0.5714285714285714,0.53125,0.0,0.7142857142857143,0.5833333333333334,0.49544422268787497,0.49846187192577823,3.2074,1.2181212134485329,1.3668299410168718,0.5714285714285714
CBLOL,2023-07-02,LOUD,8.0,5.0,3.0,31.856250000000003,127.0,121.0,1.0495867768595042,0.9726873489439887,0.006907584999999997,-179.375,0.125,0.75,0.75,5.75,0.75,,0.625,0.5405405405405406,0.0,0.625,0.5714285714285714,0.4992288767841365,0.5024806685473009,3.2235750000000003,1.2490681199795244,1.3752901277036922,0.625
CBLOL,2023-07-08,LOUD,9.0,6.0,3.0,31.74444444444445,148.0,128.0,1.15625,0.965457366178197,0.028442520000000002,-80.77777777777777,0.2222222222222222,0.7777777777777778,0.7777777777777778,5.666666666666667,0.7222222222222222,,0.5555555555555556,0.5714285714285714,0.0,0.6666666666666666,0.625,0.49918383818720635,0.5070563689121548,3.236366666666667,1.2579507005616661,1.3845546678093688,0.6666666666666666
CBLOL,2023-07-09,LOUD,10.0,7.0,3.0,33.62166666666667,170.0,148.0,1.1486486486486487,0.9520525071585297,0.022697538,-136.8,0.3,0.7,0.8,5.5,0.75,,0.6,0.5714285714285714,0.0,0.7,0.65,0.4993707175263804,0.5083362915877263,3.23342,1.2469692233791387,1.4183195903388905,0.7
CBLOL,2023-07-15,LOUD,11.0,7.0,4.0,33.37878787878788,174.0,165.0,1.0545454545454545,0.9271853457646202,0.002071852727272727,-409.0,0.2727272727272727,0.6363636363636364,0.7272727272727273,5.2727272727272725,0.7272727272727273,,0.5454545454545454,0.5471698113207547,0.0,0.6363636363636364,0.5909090909090909,0.49798700283378045,0.5057823706337716,3.244954545454546,1.2687236734787588,1.462681489821961,0.6363636363636364
CBLOL,2023-07-16,LOUD,12.0,7.0,5.0,33.525,189.0,181.0,1.0441988950276244,0.9234493120489411,0.002440835833333333,-233.83333333333334,0.25,0.5833333333333334,0.75,5.583333333333333,0.7083333333333334,,0.5,0.5344827586206896,0.0,0.5833333333333334,0.5416666666666666,0.49999882355935005,0.5053976315114158,3.2496833333333335,1.2981959416755795,1.504453604759315,0.5833333333333334
CBLOL,2023-07-22,LOUD,13.0,8.0,5.0,32.90256410256411,202.0,186.0,1.086021505376344,0.9068557214558025,0.020285925384615384,14.384615384615385,0.23076923076923078,0.6153846153846154,0.7692307692307693,5.461538461538462,0.7307692307692307,,0.5384615384615384,0.5645161290322581,0.0,0.6153846153846154,0.56,0.5013232307637168,0.5120246826085875,3.2658615384615386,1.2920941669504593,1.5157553387615978,0.6153846153846154
CBLOL,2023-07-23,LOUD,14.0,9.0,5.0,32.667857142857144,214.0,191.0,1.1204188481675392,0.8830803931727026,0.030354359285714286,316.35714285714283,0.2857142857142857,0.6428571428571429,0.7857142857142857,5.714285714285714,0.7142857142857143,,0.5714285714285714,0.5909090909090909,0.0,0.6428571428571429,0.5925925925925926,0.5024695770186142,0.5200943481365455,3.338878571428572,1.291448964977995,1.532899110890412,0.6428571428571429
CBLOL,2023-07-29,LOUD,15.0,10.0,5.0,32.403333333333336,235.0,201.0,1.1691542288557213,0.8962176584826758,0.038797335333333335,436.46666666666664,0.26666666666666666,0.6666666666666666,0.8,5.866666666666666,0.7,,0.6,0.6,0.0,0.6666666666666666,0.6071428571428571,0.5025991798285544,0.523326153498871,3.3462533333333337,1.3005904625508904,1.5212981713258247,0.6666666666666666
