league,date,Team,GP,W,L,AGT,K,D,KD,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
VCS,2024-07-13,MGN Blue Esports,9.0,3.0,6.0,29.47037037037037,140.0,152.0,0.9210526315789473,1.104803801378166,-0.01654055555555556,290.22222222222223,0.7777777777777778,0.2222222222222222,0.4444444444444444,4.555555555555555,0.7777777777777778,0.5208333333333334,0.4444444444444444,0.4864864864864865,,0.3333333333333333,0.4,0.4909949278331255,0.5050706574501568,3.883844444444444,1.379794089986008,1.5620128279866976,0.3333333333333333
VCS,2024-07-18,MGN Blue Esports,12.0,4.0,8.0,29.519444444444446,181.0,201.0,0.900497512437811,1.081043335023624,-0.017414741666666667,-206.58333333333334,0.6666666666666666,0.25,0.4166666666666667,4.5,0.6666666666666666,0.4696969696969697,0.5,0.5,,0.3333333333333333,0.42857142857142855,0.4966932817340881,0.5120317642397219,3.873291666666667,1.4026523486929288,1.5501916901455364,0.3333333333333333
VCS,2024-07-27,MGN Blue Esports,15.0,5.0,10.0,30.7,257.0,279.0,0.921146953405018,1.1538459161847752,-0.005980806666666666,-106.06666666666666,0.6666666666666666,0.3333333333333333,0.4,4.333333333333333,0.7333333333333333,0.47619047619047616,0.4666666666666667,0.5,0.0,0.4,0.5,0.49456654412487494,0.5091207615462613,3.9530466666666664,1.3975556382949883,1.592448897676537,0.3333333333333333
VCS,2024-07-28,MGN Blue Esports,17.0,5.0,12.0,30.18137254901961,272.0,316.0,0.8607594936708861,1.1344895455728925,-0.016392376470588232,-154.41176470588235,0.5882352941176471,0.35294117647058826,0.35294117647058826,4.352941176470588,0.6470588235294118,0.4574468085106383,0.47058823529411764,0.4931506849315068,0.0,0.35294117647058826,0.47619047619047616,0.4961493978129789,0.5067845158127082,3.897594117647059,1.4110239702330032,1.582353220200868,0.29411764705882354
VCS,2024-07-31,MGN Blue Esports,20.0,6.0,14.0,29.885833333333334,311.0,379.0,0.820580474934037,1.1459263698702105,-0.028411049999999993,-568.45,0.6,0.35,0.35,4.55,0.65,0.5,0.45,0.47674418604651164,0.0,0.35,0.48,0.49457852868954033,0.5004405450383204,3.82855,1.359667984796149,1.601914237581012,0.3
VCS,2024-08-01,MGN Blue Esports,22.0,6.0,16.0,29.60606060606061,332.0,435.0,0.7632183908045977,1.171479961956432,-0.0459215,-1011.7727272727273,0.5454545454545454,0.3181818181818182,0.3181818181818182,4.5,0.5909090909090909,0.4838709677419355,0.4090909090909091,0.44086021505376344,0.0,0.3181818181818182,0.4444444444444444,0.4934657248632512,0.49454144022573787,3.770481818181818,1.3277260842384864,1.6117642625672177,0.2727272727272727
VCS,2024-08-02,MGN Blue Esports,25.0,7.0,18.0,29.444000000000003,359.0,480.0,0.7479166666666667,1.132506781336097,-0.053261699999999995,-943.4,0.52,0.36,0.32,4.36,0.6,0.4892086330935252,0.44,0.47115384615384615,0.0,0.32,0.45161290322580644,0.49234859366326217,0.4984712497565739,3.748936,1.3170756440870994,1.586737633230018,0.28
VCS,2024-08-03,MGN Blue Esports,27.0,9.0,18.0,29.301234567901233,400.0,506.0,0.7905138339920948,1.1385517317040867,-0.04318435814814814,-841.7777777777778,0.5555555555555556,0.37037037037037035,0.3333333333333333,4.333333333333333,0.5925925925925926,0.5231788079470199,0.4074074074074074,0.4642857142857143,0.0,0.37037037037037035,0.47058823529411764,0.49292087771709203,0.501928560071993,3.7323666666666666,1.3105828068238017,1.5943579097141691,0.3333333333333333
VCS,2024-08-04,MGN Blue Esports,29.0,11.0,18.0,29.08850574712644,432.0,523.0,0.8260038240917782,1.1243532164197978,-0.03260928862068964,-652.2413793103449,0.5517241379310345,0.41379310344827586,0.3793103448275862,4.379310344827586,0.6206896551724138,0.5030674846625767,0.4482758620689655,0.49166666666666664,0.0,0.41379310344827586,0.5,0.4942302153714816,0.5037646821375741,3.7021137931034485,1.306293626304637,1.616691123438819,0.3793103448275862
VCS,2024-01-20,MGN Vikings Esports,2.0,0.0,2.0,37.483333333333334,35.0,43.0,0.813953488372093,1.06913800374317,-0.066353995,-1542.0,0.0,0.0,0.0,1.5,0.0,0.5,0.5,0.2727272727272727,1.0,0.5,0.5,0.5053336741038964,0.4160568724331311,3.8733,1.2221736683044497,1.771641865293359,0.0
VCS,2024-01-26,MGN Vikings Esports,4.0,2.0,2.0,36.29166666666667,77.0,85.0,0.9058823529411765,1.1308518925950792,-0.037589815,-2219.5,0.0,0.0,0.0,2.5,0.5,0.5,0.75,0.47619047619047616,1.0,0.75,0.6666666666666666,0.507809466613356,0.44954427332063795,3.9364,1.2875071847154849,1.8480804795985684,0.5
VCS,2024-01-28,MGN Vikings Esports,6.0,4.0,2.0,33.075,120.0,97.0,1.2371134020618557,1.0989910726956187,0.03009445666666667,-771.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.1666666666666665,0.3333333333333333,0.4444444444444444,0.8333333333333334,0.6071428571428571,1.0,0.8333333333333334,0.75,0.5171914287472349,0.48940659079966925,4.20525,1.4353127878232392,2.053020003367697,0.6666666666666666
VCS,2024-02-01,MGN Vikings Esports,8.0,4.0,4.0,33.69791666666667,126.0,121.0,1.0413223140495869,0.9286520936310085,-0.005722720000000001,-1183.75,0.375,0.25,0.25,2.625,0.25,0.375,0.875,0.5526315789473685,1.0,0.75,0.6363636363636364,0.5129361170670752,0.48235983902470064,4.148149999999999,1.4576882147370602,2.015896207744694,0.5
VCS,2024-02-03,MGN Vikings Esports,10.0,4.0,6.0,35.09666666666667,139.0,156.0,0.8910256410256411,0.8608315320573012,-0.015472086000000001,-1153.6,0.3,0.2,0.2,2.8,0.2,0.35,0.8,0.5098039215686274,1.0,0.7,0.5714285714285714,0.5119629508042942,0.48255453788642716,4.425649999999999,1.477506178204344,2.133522840795642,0.4
VCS,2024-02-18,MGN Vikings Esports,12.0,6.0,6.0,34.43333333333333,165.0,177.0,0.9322033898305084,0.8428803514435498,-0.005935038333333334,-807.0,0.4166666666666667,0.3333333333333333,0.25,3.0,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.5333333333333333,1.0,0.6666666666666666,0.5882352941176471,0.5133150726995978,0.48251214272434706,4.28515,1.4190949604305596,2.0846069209523033,0.5
VCS,2024-02-22,MGN Vikings Esports,14.0,8.0,6.0,33.739285714285714,207.0,197.0,1.0507614213197969,0.8761628964429172,0.010869024285714285,-952.2857142857143,0.35714285714285715,0.35714285714285715,0.2857142857142857,3.2142857142857144,0.14285714285714285,0.39285714285714285,0.7857142857142857,0.5507246376811594,1.0,0.7142857142857143,0.631578947368421,0.5146441046753649,0.49871463731186433,4.132842857142857,1.3937241337484114,2.042228038829338,0.5714285714285714
VCS,2024-02-24,MGN Vikings Esports,16.0,8.0,8.0,34.443749999999994,233.0,222.0,1.0495495495495495,0.8465010390539335,0.011180203749999996,-919.8125,0.375,0.3125,0.3125,3.1875,0.25,0.46875,0.6875,0.5365853658536586,0.6666666666666666,0.625,0.5217391304347826,0.5125708981263071,0.4997915341301652,4.188937500000001,1.3992801323760298,2.0135899993824418,0.5
VCS,2024-02-29,MGN Vikings Esports,18.0,10.0,8.0,34.7074074074074,277.0,249.0,1.1124497991967872,0.859677144640243,0.016506636666666664,-881.7777777777778,0.3888888888888889,0.3333333333333333,0.3333333333333333,3.111111111111111,0.2777777777777778,0.42592592592592593,0.6111111111111112,0.5217391304347826,0.75,0.6111111111111112,0.5185185185185185,0.5141580228520302,0.5025940468128035,4.1309055555555565,1.4098162251858564,2.031111684383162,0.5555555555555556
VCS,2024-03-02,MGN Vikings Esports,20.0,12.0,8.0,34.11,306.0,266.0,1.150375939849624,0.8537060386930808,0.020978517999999995,-695.85,0.4,0.35,0.4,3.35,0.25,0.475,0.6,0.52,0.75,0.6,0.5,0.5141312487988636,0.5109602824172168,4.051995000000001,1.395941536332485,1.991544696573623,0.6
VCS,2024-03-07,MGN Vikings Esports,22.0,12.0,10.0,34.340909090909086,322.0,308.0,1.0454545454545454,0.8481204232893886,0.008054348181818178,-717.2727272727273,0.4090909090909091,0.36363636363636365,0.4090909090909091,3.1818181818181817,0.2727272727272727,0.49242424242424243,0.5909090909090909,0.5089285714285714,0.75,0.5454545454545454,0.45454545454545453,0.5119454348410435,0.5034090029504126,4.0678681818181825,1.395487306447915,1.9779251753688165,0.5454545454545454
VCS,2024-03-10,MGN Vikings Esports,25.0,14.0,11.0,34.797333333333334,374.0,355.0,1.0535211267605633,0.8504103144329204,0.008994578400000001,-669.92,0.44,0.32,0.36,3.24,0.28,0.47333333333333333,0.64,0.5307692307692308,0.8,0.56,0.48717948717948717,0.5115785623930187,0.5037445550380364,4.064468,1.414216971781693,2.054814934952968,0.56
VCS,2024-03-14,MGN Vikings Esports,27.0,14.0,13.0,34.52654320987654,392.0,386.0,1.0155440414507773,0.8458302244983222,0.002090035555555556,-741.8888888888889,0.4444444444444444,0.2962962962962963,0.3333333333333333,3.1481481481481484,0.25925925925925924,0.5031446540880503,0.6296296296296297,0.5144927536231884,0.8,0.5185185185185185,0.4634146341463415,0.5098595666034049,0.5034267020066922,4.062140740740741,1.4233421232040127,2.052711240650058,0.5185185185185185
VCS,2024-04-03,MGN Vikings Esports,2.0,2.0,0.0,34.93333333333334,44.0,27.0,1.6296296296296295,1.0139464343380808,0.0450074,454.0,0.5,0.5,0.5,5.0,0.5,0.4166666666666667,1.0,0.9,1.0,1.0,1.0,0.5088856321409903,0.5585212591026545,4.143800000000001,1.406518574791105,1.5643784165884473,1.0
VCS,2024-04-05,MGN Vikings Esports,6.0,5.0,1.0,32.91111111111111,114.0,68.0,1.6764705882352942,0.9343821539095228,0.08891646666666668,870.1666666666666,0.5,0.6666666666666666,0.6666666666666666,3.8333333333333335,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.6551724137931034,1.0,0.8333333333333334,0.8,0.5074969350343713,0.5241101817383887,4.0781,1.4086599163008886,1.7083860196926735,0.8333333333333334
VCS,2024-04-07,MGN Vikings Esports,10.0,6.0,4.0,34.184999999999995,179.0,142.0,1.2605633802816902,0.9509254210297993,0.04315244000000001,273.1,0.4,0.5,0.6,4.0,0.6,0.5833333333333334,0.8,0.625,1.0,0.5,0.5882352941176471,0.5065034839062311,0.5179053747572014,4.466620000000001,1.4282171416311724,2.040391155592298,0.6
VCS,2024-06-21,MGN Vikings Esports,2.0,2.0,0.0,33.86666666666667,43.0,24.0,1.7916666666666667,0.9949312872260874,0.1314055,1716.0,0.5,1.0,0.5,3.5,0.0,0.6666666666666666,0.5,0.7777777777777778,,1.0,1.0,0.5041697360343769,0.5733848872763996,4.696400000000001,1.4608047672669395,2.028605347462879,1.0
VCS,2024-06-23,MGN Vikings Esports,4.0,4.0,0.0,31.479166666666668,75.0,36.0,2.0833333333333335,0.8695234258249608,0.12936292500000002,2229.0,0.75,1.0,0.75,4.5,0.0,0.6666666666666666,0.75,0.8235294117647058,,1.0,1.0,0.5056387717829464,0.5587442173678259,4.6115,1.4169777184914243,2.101095991051624,1.0
VCS,2024-06-28,MGN Vikings Esports,7.0,5.0,2.0,33.16428571428572,126.0,88.0,1.4318181818181819,0.9139204729225573,0.08840188571428573,947.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,4.571428571428571,0.14285714285714285,0.6428571428571429,0.7142857142857143,0.625,0.0,0.7142857142857143,0.6363636363636364,0.5048338036587955,0.5580644748906353,4.6149,1.4017661370403736,2.0782735680745135,0.7142857142857143
VCS,2024-06-30,MGN Vikings Esports,10.0,7.0,3.0,32.085,179.0,128.0,1.3984375,0.9525366445525231,0.09159971400000001,1157.2,0.6,0.7,0.6,5.1,0.3,0.5333333333333333,0.7,0.6222222222222222,0.0,0.6,0.6,0.5049611519975192,0.5491199449798899,4.417520000000001,1.3577646592901687,2.040115115730228,0.7
VCS,2024-07-12,MGN Vikings Esports,12.0,9.0,3.0,31.15833333333333,222.0,138.0,1.608695652173913,0.9602197889322079,0.10216409500000001,1460.0833333333333,0.5,0.75,0.6666666666666666,5.416666666666667,0.4166666666666667,0.5555555555555556,0.6666666666666666,0.6538461538461539,0.0,0.6666666666666666,0.6470588235294118,0.5092304388654113,0.5552199795471775,4.327908333333334,1.3041933212166115,1.973414244252041,0.75
